Date,Low,High,Average Price (daily),Unit 
17/02/2020,330,340,335,Yuan/kg
18/02/2020,330,340,335,Yuan/kg
19/02/2020,330,340,335,Yuan/kg
20/02/2020,330,340,335,Yuan/kg
21/02/2020,330,340,335,Yuan/kg
24/02/2020,330,340,335,Yuan/kg
25/02/2020,330,340,335,Yuan/kg
26/02/2020,330,340,335,Yuan/kg
27/02/2020,330,340,335,Yuan/kg
28/02/2020,335,345,340,Yuan/kg
02/03/2020,335,355,345,Yuan/kg
03/03/2020,335,355,345,Yuan/kg
04/03/2020,335,355,345,Yuan/kg
05/03/2020,335,355,345,Yuan/kg
06/03/2020,340,360,350,Yuan/kg
09/03/2020,340,360,350,Yuan/kg
10/03/2020,340,360,350,Yuan/kg
11/03/2020,340,360,350,Yuan/kg
12/03/2020,340,360,350,Yuan/kg
13/03/2020,350,360,355,Yuan/kg
16/03/2020,350,360,355,Yuan/kg
17/03/2020,350,360,355,Yuan/kg
18/03/2020,355,365,360,Yuan/kg
19/03/2020,355,365,360,Yuan/kg
20/03/2020,355,365,360,Yuan/kg
23/03/2020,355,365,360,Yuan/kg
24/03/2020,355,365,360,Yuan/kg
25/03/2020,370,380,375,Yuan/kg
26/03/2020,370,380,375,Yuan/kg

